Sales_id,Product_id,Quantity,Coupon_code,abandoned
149,10013603,44,NO CODE,9
150,10013585,30,NO CODE,4
151,10012865,38,NO CODE,13
152,10017417,40,NO CODE,7
153,1001423,46,NO CODE,8
154,10017719,26,NO CODE,2
155,10014659,27,NO CODE,2
156,10003183,43,NO CODE,9
157,10013567,35,NO CODE,4
158,10001975,37,NO CODE,6
159,10017747,37,NO CODE,7
160,10015929,27,NO CODE,2
161,10017913,38,NO CODE,12
162,10004129,33,NO CODE,6
163,10012919,42,NO CODE,10
164,10015983,42,NO CODE,7
165,10014677,48,NO CODE,7
166,10009715,41,NO CODE,2
167,10012733,30,NO CODE,2
168,10012349,27,NO CODE,14
169,10017079,21,NO CODE,3
170,10002675,20,NO CODE,8
171,10003177,41,NO CODE,2
172,10013677,27,NO CODE,9
173,1001774,28,NO CODE,3
174,10012959,24,NO CODE,13
175,10005885,44,NO CODE,14
176,10012497,50,NO CODE,3
177,10004169,21,NO CODE,12
178,10000775,33,NO CODE,5
179,10017441,33,NO CODE,10
180,10016679,31,NO CODE,3
181,10012371,41,NO CODE,5
182,10012335,45,NO CODE,2
183,10001931,33,NO CODE,3
184,10014817,45,NO CODE,7
185,10002341,26,NO CODE,4
186,10004325,12,NO CODE,13
187,1000717,41,NO CODE,15
188,10014941,33,NO CODE,9
189,10000747,46,NO CODE,2
190,10017391,33,NO CODE,12
191,10015151,20,NO CODE,11
192,10006081,44,NO CODE,3
193,10017167,33,NO CODE,2
194,10017347,21,NO CODE,13
195,10017031,47,NO CODE,5
196,10003277,46,NO CODE,13
197,10017363,32,NO CODE,2
198,10017439,42,NO CODE,2
199,10000553,44,NO CODE,2
200,10017481,35,NO CODE,2
201,10012373,41,NO CODE,5
202,10012355,46,NO CODE,8
203,10003051,31,NO CODE,13
204,10013691,38,NO CODE,5
205,10017847,42,NO CODE,8
206,10015167,33,NO CODE,10
207,10017043,48,NO CODE,8
208,10016271,42,NO CODE,8
209,10013487,32,NO CODE,6
210,10000811,34,NO CODE,10
211,10013707,33,NO CODE,1
212,10015985,36,NO CODE,2
213,10017651,27,NO CODE,8
214,10002753,21,NO CODE,2
215,10017113,21,NO CODE,8
216,10000697,38,NO CODE,8
217,10013243,30,NO CODE,5
218,10003303,49,NO CODE,6
219,10013787,43,NO CODE,1
220,10001425,41,NO CODE,5
221,10012725,38,NO CODE,8
222,10017587,28,NO CODE,3
223,10014735,43,NO CODE,1
224,10013519,25,NO CODE,13
225,10013727,38,NO CODE,6
226,10011181,41,NO CODE,3
227,10005911,28,NO CODE,6
228,10009771,25,NO CODE,13
229,10012909,41,NO CODE,8
230,10000729,39,NO CODE,3
231,10005261,21,NO CODE,11
232,10003011,27,NO CODE,9
233,10015913,33,NO CODE,6
234,10012845,29,NO CODE,3
235,10017407,49,NO CODE,8
236,10003085,49,NO CODE,8
237,10009711,20,NO CODE,1
238,10006049,39,NO CODE,9
239,10015937,40,NO CODE,6
240,10017629,49,NO CODE,3
241,10004201,21,NO CODE,1
242,10003823,50,NO CODE,4
243,10017743,20,NO CODE,1
244,10013421,49,NO CODE,5
245,10002767,38,NO CODE,13
246,10006053,35,NO CODE,13
247,10003439,40,NO CODE,8
248,10007597,28,NO CODE,1
249,10011163,25,NO CODE,1
250,10002869,36,NO CODE,13
251,10003027,43,NO CODE,6
252,10014845,32,NO CODE,6
253,10013073,46,NO CODE,1
254,10000751,48,NO CODE,1
255,10006039,43,NO CODE,14
256,10000641,49,NO CODE,5
257,10013523,24,NO CODE,8
258,10000667,26,NO CODE,4
259,10013673,30,NO CODE,9
260,10002963,24,NO CODE,6
261,1000718,55,NO CODE,8
262,10000281,22,NO CODE,1
263,10017857,49,NO CODE,13
264,10009743,44,NO CODE,6
265,10013425,66,NO CODE,6
266,10013405,21,NO CODE,1
267,10016003,34,NO CODE,1
268,10012971,43,10XOR,10
269,10003597,46,10XSR,3
270,10001003,33,15UNI,13
271,10015161,42,25H250,12
272,10004157,34,20ELLEE,4
273,10002837,47,10STELLA,3
274,10017415,33,MARKS15,14
275,10012803,24,HOLS10,6
276,10003505,26,5DAL,14
277,10001527,30,15EOY,3
278,10000215,43,NO CODE,1
279,10003695,25,NO CODE,3
280,10013623,27,NO CODE,3
281,10006015,27,NO CODE,6
282,10017631,24,NO CODE,9
283,10007663,34,NO CODE,14
284,10003899,46,NO CODE,6
285,10013427,27,NO CODE,1
286,10015165,33,NO CODE,11
287,10017163,47,NO CODE,4
288,10002865,49,10XOR,5
289,10013631,40,10XSR,4
290,10012879,37,15UNI,11
291,10003347,47,25H250,3
292,10012863,45,NO CODE,4
293,10003851,37,NO CODE,8
294,1000894,48,NO CODE,5
295,10004123,31,NO CODE,5
296,10012823,46,NO CODE,6
297,10007763,47,NO CODE,4
298,10012363,28,NO CODE,12
299,10003801,40,NO CODE,1
300,10009623,20,NO CODE,6
301,1000494,39,NO CODE,16
302,10003047,25,NO CODE,7
303,10013037,29,NO CODE,1
304,10001491,22,NO CODE,11
305,10017213,22,NO CODE,12
306,10003569,47,NO CODE,1
307,10013415,45,NO CODE,10
308,10001715,29,NO CODE,3
309,10016713,24,NO CODE,8
310,10003437,35,NO CODE,1
311,10018013,46,NO CODE,13
312,10015877,44,NO CODE,1
313,1000709,34,NO CODE,4
314,10006083,35,NO CODE,1
315,10012719,25,NO CODE,6
316,10007787,10,NO CODE,11
317,10012759,29,NO CODE,14
318,10017011,39,NO CODE,8
319,10000593,42,NO CODE,1
320,10017603,46,NO CODE,11
321,10001497,49,NO CODE,10
322,10009611,27,NO CODE,2
323,10016983,50,NO CODE,1
324,10016985,43,NO CODE,12
325,10003249,38,NO CODE,4
326,10003411,20,NO CODE,12
327,10017503,27,NO CODE,1
328,10017917,49,NO CODE,1
329,10007783,27,NO CODE,1
330,10005971,39,NO CODE,1
331,1001061,24,NO CODE,4
332,10005969,45,NO CODE,7
333,10012723,20,NO CODE,12
334,10017001,36,NO CODE,4
335,10012779,24,NO CODE,1
336,10013719,49,NO CODE,1
337,10017589,26,NO CODE,10
338,10004177,49,NO CODE,5
339,10017359,34,NO CODE,1
340,10004283,34,NO CODE,12
341,10001271,33,NO CODE,3
342,10017693,22,NO CODE,1
343,10005967,39,NO CODE,7
344,1001221,32,NO CODE,11
345,10001773,24,NO CODE,8
346,10012883,21,NO CODE,8
347,10006045,24,NO CODE,3
348,10012969,36,NO CODE,3
349,10013413,20,NO CODE,15
350,10012715,30,NO CODE,4
351,10014933,44,NO CODE,9
352,10013361,28,NO CODE,3
353,10003469,37,NO CODE,10
354,10004145,20,NO CODE,4
355,10017667,25,NO CODE,14
356,10005983,35,NO CODE,15
357,10004509,38,NO CODE,4
358,10003493,41,NO CODE,13
359,10005909,22,NO CODE,6
360,10003417,49,NO CODE,11
361,10004121,38,NO CODE,4
362,10017695,33,NO CODE,14
363,10005997,36,NO CODE,10
364,10015145,34,NO CODE,5
365,1001707,24,NO CODE,5
366,10001057,36,NO CODE,7
367,10000761,34,NO CODE,14
368,10014759,41,NO CODE,9
369,10003843,46,NO CODE,5
370,10013049,24,NO CODE,11
371,10007611,21,NO CODE,5
372,10012805,24,NO CODE,3
373,10014795,48,NO CODE,12
374,10013035,26,NO CODE,1
375,10013237,37,NO CODE,6
376,10004477,49,NO CODE,6
377,10007743,34,NO CODE,7
378,10003209,48,NO CODE,2
379,10006199,36,NO CODE,1
380,10013131,46,NO CODE,5
381,10012731,46,NO CODE,4
382,10004267,31,NO CODE,5
383,10017457,41,NO CODE,1
384,10003531,21,NO CODE,8
385,10012807,38,NO CODE,5
386,10006063,45,NO CODE,14
387,10013261,26,NO CODE,7
388,10006071,38,NO CODE,3
389,10012707,48,NO CODE,9
390,10017453,42,NO CODE,9
391,10016269,49,NO CODE,4
392,10009767,32,NO CODE,13
393,10013423,54,NO CODE,5
394,10016757,33,NO CODE,4
395,10017585,36,NO CODE,3
396,10017567,20,NO CODE,7
397,10000583,29,NO CODE,4
398,10017507,33,NO CODE,4
399,10003365,50,NO CODE,5
400,10016001,41,NO CODE,3
401,10000533,36,NO CODE,11
402,10001731,27,NO CODE,16
403,10015819,47,NO CODE,5
404,10016997,33,NO CODE,15
405,10000107,21,NO CODE,6
406,10016753,21,NO CODE,5
407,10012413,41,NO CODE,10
408,10003523,40,NO CODE,11
409,10007713,28,NO CODE,1
410,10017571,23,NO CODE,9
411,10004143,23,NO CODE,2
412,10006031,25,NO CODE,7
413,10016703,24,NO CODE,15
414,10013671,39,NO CODE,15
415,10013651,55,NO CODE,7
416,10001097,46,NO CODE,6
417,10000683,50,NO CODE,1
418,10003817,47,NO CODE,8
419,10004135,97,NO CODE,5
420,10017741,32,NO CODE,10
421,10016671,35,NO CODE,10
422,1001062,49,NO CODE,4
423,10004139,38,NO CODE,10
424,10012799,32,NO CODE,10
425,1000740,34,NO CODE,7
426,10017841,36,NO CODE,8
427,10000097,48,NO CODE,3
428,10017459,21,NO CODE,7
429,10017479,21,NO CODE,10
430,10007617,34,NO CODE,5
431,10009693,46,NO CODE,2
432,10003097,32,NO CODE,1
433,10002487,29,NO CODE,8
434,10003819,41,NO CODE,5
435,10003497,43,NO CODE,8
436,10017397,24,NO CODE,1
437,10002003,41,NO CODE,10
438,10003831,46,NO CODE,5
439,10002441,32,NO CODE,2
440,10012877,22,NO CODE,10
441,10017007,29,NO CODE,7
442,10016665,42,NO CODE,5
443,10017601,39,NO CODE,1
444,10001585,27,NO CODE,1
445,10003109,48,NO CODE,2
446,10013543,29,NO CODE,10
447,10004357,27,NO CODE,8
448,10013589,54,NO CODE,5
449,10001157,26,NO CODE,4
450,10015915,34,NO CODE,2
451,10009747,25,NO CODE,2
452,10012789,23,NO CODE,13
453,1000182,28,NO CODE,12
454,10012791,35,NO CODE,2
455,10013621,44,NO CODE,6
456,10002807,22,NO CODE,11
457,10017429,42,NO CODE,17
458,10000727,29,NO CODE,10
459,1000744,32,NO CODE,1
460,10014683,41,NO CODE,3
461,10000777,26,NO CODE,5
462,10015987,21,NO CODE,6
463,10013371,34,NO CODE,6
464,10001849,41,NO CODE,4
465,10001511,37,NO CODE,8
466,10000595,37,NO CODE,2
467,10017021,41,NO CODE,10
468,10013579,46,NO CODE,6
469,10003427,40,NO CODE,2
470,10000675,43,NO CODE,8
471,10017433,30,NO CODE,1
472,10006059,35,NO CODE,2
473,10018011,36,NO CODE,14
474,10004163,61,NO CODE,3
475,1000505,38,NO CODE,5
476,10012981,39,NO CODE,2
477,10006057,33,NO CODE,6
478,10000903,32,NO CODE,1
479,10017409,31,NO CODE,7
480,1000488,50,NO CODE,4
481,10008647,48,NO CODE,2
482,10003543,43,NO CODE,6
483,10004133,25,NO CODE,3
484,10006087,28,NO CODE,7
485,10013493,36,NO CODE,2
486,10004111,27,NO CODE,10
487,10012695,25,NO CODE,3
488,10013045,40,NO CODE,7
489,10017915,34,NO CODE,2
490,10017737,50,NO CODE,9
491,10005247,38,NO CODE,2
492,10003845,37,NO CODE,13
493,10016991,43,NO CODE,10
494,10017157,43,NO CODE,14
495,10003853,46,NO CODE,15
496,10018075,42,NO CODE,3
497,10009687,50,NO CODE,9
498,10017425,44,NO CODE,8
499,10017615,27,NO CODE,13
500,10017495,35,NO CODE,2
501,10000355,51,NO CODE,2
502,10017475,41,NO CODE,1
503,10003207,48,NO CODE,5
504,10013059,42,NO CODE,17
505,10017443,49,NO CODE,6
506,10017063,30,NO CODE,3
507,10001333,45,NO CODE,1
508,10006027,48,NO CODE,5
509,10012551,32,NO CODE,2
510,10012815,46,NO CODE,6
511,10017489,48,NO CODE,1
512,10003725,33,NO CODE,9
513,10013595,31,NO CODE,2
514,10013495,20,NO CODE,6
515,10000559,29,NO CODE,1
516,10017383,27,NO CODE,8
517,10004501,24,NO CODE,1
518,10004115,37,NO CODE,12
519,10009673,25,NO CODE,9
520,10012777,41,NO CODE,5
521,10004421,27,NO CODE,16
522,10004011,21,NO CODE,7
523,10012339,22,NO CODE,6
524,10004149,32,NO CODE,7
525,1000743,25,NO CODE,9
526,10003155,42,NO CODE,3
527,10012781,25,NO CODE,1
528,10009679,37,NO CODE,16
529,10013549,26,NO CODE,2
530,10013565,44,NO CODE,2
531,10016739,47,NO CODE,9
532,10005999,43,NO CODE,8
533,10017861,42,NO CODE,6
534,10003605,42,NO CODE,2
535,10003463,29,NO CODE,7
536,10006051,40,NO CODE,13
537,10012927,38,NO CODE,6
538,10007673,38,NO CODE,4
539,10000445,21,NO CODE,11
540,10006047,24,NO CODE,1
541,10009675,36,NO CODE,2
542,10012369,23,NO CODE,2
543,10012787,20,NO CODE,14
544,10004131,32,NO CODE,4
545,10017081,29,NO CODE,9
546,10007733,44,NO CODE,6
547,10017911,44,NO CODE,14
548,10014815,36,NO CODE,4
549,10015141,49,NO CODE,1
550,10018053,34,NO CODE,5
551,10007719,59,NO CODE,11
552,10014939,37,NO CODE,1
553,10012555,36,NO CODE,12
554,10000921,43,NO CODE,3
555,10007655,21,NO CODE,4
556,10002521,32,NO CODE,7
557,10015057,38,NO CODE,5
558,10012701,43,NO CODE,1
559,1000497,42,NO CODE,4
560,10017679,32,NO CODE,1
561,10009647,42,NO CODE,4
562,10012341,31,NO CODE,17
563,10017811,49,NO CODE,4
564,10013051,45,NO CODE,14
565,10000737,49,NO CODE,9
566,10000543,41,NO CODE,1
567,10007717,45,NO CODE,11
568,10013735,36,NO CODE,7
569,10017697,39,NO CODE,1
570,10012739,27,NO CODE,9
571,10001751,25,NO CODE,6
572,10012809,41,NO CODE,1
573,10016981,39,NO CODE,1
574,10012869,28,NO CODE,4
575,10009659,25,NO CODE,7
576,10007623,33,NO CODE,11
577,10017699,34,NO CODE,1
578,10012977,24,NO CODE,14
579,10017009,30,NO CODE,3
580,10012519,42,NO CODE,7
581,10014785,21,NO CODE,6
582,10007757,34,NO CODE,11
583,10012867,29,NO CODE,9
584,10017437,24,NO CODE,13
585,10012729,44,NO CODE,10
586,10015539,21,NO CODE,14
587,1000741,33,NO CODE,4
588,10017829,30,NO CODE,7
589,10006079,26,NO CODE,10
590,10017077,41,NO CODE,2
591,10009671,26,NO CODE,16
592,10017761,32,NO CODE,5
593,10013501,43,NO CODE,1
594,10016993,48,NO CODE,17
595,10000377,44,NO CODE,7
596,1000716,45,NO CODE,1
597,10003297,37,NO CODE,3
598,1000721,39,NO CODE,2
599,10012797,76,NO CODE,2
600,10004463,37,NO CODE,5
601,10012817,38,NO CODE,2
602,10002835,43,NO CODE,6
603,10013533,48,NO CODE,3
604,10012813,26,NO CODE,3
605,10015863,38,NO CODE,4
606,10015919,20,NO CODE,2
607,10014829,22,NO CODE,10
608,10017853,45,NO CODE,15
609,10001923,45,NO CODE,4
610,10002193,20,NO CODE,14
611,10002673,47,NO CODE,5
612,10013545,46,NO CODE,4
613,10004175,23,NO CODE,9
614,10012827,33,NO CODE,10
615,10003847,29,NO CODE,10
616,10013397,44,NO CODE,8
617,10017499,41,NO CODE,1
618,10000801,20,NO CODE,6
619,10009751,37,NO CODE,14
620,1000507,29,NO CODE,9
621,10017085,55,NO CODE,1
622,10011195,22,NO CODE,7
623,10012839,31,NO CODE,4
624,10015829,49,NO CODE,3
625,10012515,61,NO CODE,4
626,1000712,39,NO CODE,9
627,10009635,38,NO CODE,3
628,10002805,31,NO CODE,1
629,10004113,36,NO CODE,1
630,10016971,25,NO CODE,12
631,10013411,48,NO CODE,11
632,10013605,35,NO CODE,1
633,10000301,21,NO CODE,5
634,10012963,47,NO CODE,10
635,10017491,38,NO CODE,16
636,10012961,41,NO CODE,9
637,10012819,24,NO CODE,7
638,1001050,37,NO CODE,2
639,10006007,33,NO CODE,4
640,10003171,49,NO CODE,5
641,10003855,29,NO CODE,5
642,10005993,24,NO CODE,3
643,10003849,47,NO CODE,7
644,10013515,24,NO CODE,1
645,10004315,25,NO CODE,9
646,10000753,30,NO CODE,8
647,10009661,22,NO CODE,3
648,10003477,27,NO CODE,2
649,10002627,34,NO CODE,3
650,10013581,36,NO CODE,6
651,10003647,34,NO CODE,15
652,10013499,48,NO CODE,2
653,10012741,34,NO CODE,4
654,10013649,24,NO CODE,8
655,10012533,46,NO CODE,4
656,10003099,45,NO CODE,10
657,10002827,39,NO CODE,4
658,10014665,43,NO CODE,2
659,10012517,29,NO CODE,11
660,10003395,20,NO CODE,10
661,10016735,46,NO CODE,5
662,10017627,27,NO CODE,5
663,10009735,44,NO CODE,6
664,10017659,43,NO CODE,1
665,10014783,49,NO CODE,8
666,10016699,40,NO CODE,4
667,10014843,30,NO CODE,3
668,10013401,50,NO CODE,4
669,10016731,23,NO CODE,13
670,10002759,26,NO CODE,7
671,10012543,27,NO CODE,4
672,10013223,42,NO CODE,13
673,10004181,47,NO CODE,8
674,1001519,49,NO CODE,6
675,10000587,38,NO CODE,8
676,10002269,20,NO CODE,10
677,10013349,25,NO CODE,7
678,10001899,25,NO CODE,5
679,10017805,41,NO CODE,4
680,10002195,28,NO CODE,3
681,10003087,50,NO CODE,2
682,1001060,32,NO CODE,6
683,10000707,42,NO CODE,5
684,10000763,24,NO CODE,10
685,10017867,27,NO CODE,8
686,10016741,26,NO CODE,12
687,10013305,38,NO CODE,9
688,10013377,42,NO CODE,13
689,10017801,23,NO CODE,3
690,10013629,21,NO CODE,6
691,10012757,28,NO CODE,9
692,10000725,33,NO CODE,1
693,10000901,25,NO CODE,15
694,10006017,28,NO CODE,4
695,10017799,46,NO CODE,2
696,10012705,30,NO CODE,16
697,10002393,38,NO CODE,9
698,10004171,40,NO CODE,2
699,10000635,45,NO CODE,4
700,10014661,27,NO CODE,1
701,10003161,42,NO CODE,1
702,1000903,36,NO CODE,4
703,10015805,29,NO CODE,12
704,10000539,39,NO CODE,3
705,10017733,45,NO CODE,14
706,10005241,47,NO CODE,8
707,10016723,49,NO CODE,6
708,1000746,46,NO CODE,15
709,10005995,48,NO CODE,4
710,10000869,46,NO CODE,9
711,10012775,35,NO CODE,9
712,10013315,43,NO CODE,10
713,10001017,26,NO CODE,4
714,10017237,22,NO CODE,8
715,10003837,34,NO CODE,7
716,10015153,50,NO CODE,8
717,10012539,48,NO CODE,4
718,10015171,41,NO CODE,11
719,10017739,36,NO CODE,8
720,1000353,29,NO CODE,2
721,10002751,33,NO CODE,10
722,10017775,46,NO CODE,6
723,10012973,38,NO CODE,7
724,10000771,20,NO CODE,11
725,10004153,22,NO CODE,5
726,10014337,27,NO CODE,11
727,10003149,56,NO CODE,8
728,10001981,38,NO CODE,7
729,10003727,25,NO CODE,4
730,10013399,33,NO CODE,4
731,10014837,42,NO CODE,3
732,10013057,33,NO CODE,8
733,10004401,38,NO CODE,6
734,10000945,31,NO CODE,10
735,10003557,20,NO CODE,7
736,10000651,44,NO CODE,11
737,10000187,26,NO CODE,1
738,10012293,27,NO CODE,4
739,1000729,46,NO CODE,7
740,10003311,47,NO CODE,2
741,10017889,37,NO CODE,13
742,10017483,31,NO CODE,2
743,10017821,24,NO CODE,17
744,10017597,31,NO CODE,14
745,10000535,50,NO CODE,6
746,10017871,35,NO CODE,8
747,10004381,30,NO CODE,3
748,10014825,29,NO CODE,3
749,10012801,27,NO CODE,5
750,10017365,40,NO CODE,10
751,10013027,31,NO CODE,16
752,10017039,6,NO CODE,2
753,10013657,45,NO CODE,2
754,10017827,22,NO CODE,2
755,10007721,45,NO CODE,6
756,10012793,43,NO CODE,2
757,10006033,46,NO CODE,2
758,10013419,39,NO CODE,9
759,10017677,31,NO CODE,18
760,10001781,41,NO CODE,7
761,10002791,44,NO CODE,12
762,10005167,45,NO CODE,2
763,10017455,37,NO CODE,13
764,10013737,35,NO CODE,2
765,10001345,28,NO CODE,7
766,10003805,30,NO CODE,11
767,10002761,30,NO CODE,10
768,10007803,25,NO CODE,11
769,10018065,29,NO CODE,7
770,10002467,26,NO CODE,2
771,10000699,41,NO CODE,11
772,10005883,34,NO CODE,5
773,10012617,35,NO CODE,11
774,10000723,34,NO CODE,1
775,10001209,50,NO CODE,8
776,10017593,41,NO CODE,7
777,10006979,22,NO CODE,7
778,10009775,35,NO CODE,7
779,10009729,44,NO CODE,5
780,10003077,47,NO CODE,11
781,10004167,19,NO CODE,10
782,10004119,34,NO CODE,2
783,10001131,29,NO CODE,8
784,10005977,49,NO CODE,3
785,10006009,30,NO CODE,14
786,10001665,21,NO CODE,9
787,10012859,50,NO CODE,7
788,10016117,47,NO CODE,9
789,10007829,24,NO CODE,3
790,10016697,27,NO CODE,4
791,10008639,33,NO CODE,10
792,10017755,35,NO CODE,9
793,10001203,31,NO CODE,1
794,10016995,25,NO CODE,4
795,10012833,27,NO CODE,7
796,10017875,31,NO CODE,9
797,10017863,45,NO CODE,8
798,10013525,27,NO CODE,2
799,10017905,27,NO CODE,1
800,10003075,42,NO CODE,2
801,10012343,21,NO CODE,18
802,10004137,34,NO CODE,15
803,10013251,42,NO CODE,3
804,10001377,15,NO CODE,4
805,10001483,29,NO CODE,6
806,10004125,46,NO CODE,4
807,10001561,30,NO CODE,6
808,10012843,30,NO CODE,10
809,10003019,42,NO CODE,18
810,10003799,46,NO CODE,5
811,10002763,25,NO CODE,13
812,10014345,32,NO CODE,5
813,10016747,30,NO CODE,6
814,10000591,40,NO CODE,3
815,10002455,28,NO CODE,5
816,10013679,23,NO CODE,2
817,10002989,29,NO CODE,6
818,10017059,34,NO CODE,6
819,10014897,37,NO CODE,5
820,10015155,20,NO CODE,10
821,10013573,32,NO CODE,2
822,10012985,34,NO CODE,3
823,10013409,42,NO CODE,5
824,10013759,38,NO CODE,12
825,10012435,30,NO CODE,1
826,10017449,23,NO CODE,3
827,10013497,22,NO CODE,4
828,10000693,39,NO CODE,5
829,10017573,55,NO CODE,2
830,10003815,36,NO CODE,6
831,10000813,26,NO CODE,1
832,10001479,31,NO CODE,1
833,10009663,34,NO CODE,2
834,10015993,41,NO CODE,8
835,10000715,23,NO CODE,5
836,10002831,48,NO CODE,3
837,10007591,22,NO CODE,7
838,10016685,21,NO CODE,4
839,10016721,22,NO CODE,8
840,10000403,40,NO CODE,3
841,10002711,50,NO CODE,1
842,10006043,29,NO CODE,4
843,10001363,43,NO CODE,8
844,10004179,24,NO CODE,1
845,10012873,22,NO CODE,10
846,10002775,43,NO CODE,3
847,10014765,20,NO CODE,14
848,10003527,25,NO CODE,11
849,10001475,36,NO CODE,2
850,10003723,24,NO CODE,1
851,10003827,21,NO CODE,6
852,10003511,30,NO CODE,1
853,10004147,32,NO CODE,7
854,10017419,21,NO CODE,8
855,10000915,26,NO CODE,7
856,10018015,35,NO CODE,1
857,10004305,26,NO CODE,1
858,10017753,46,NO CODE,3
859,10012773,37,NO CODE,3
860,10003413,27,NO CODE,10
861,10012825,23,NO CODE,9
862,10014761,39,NO CODE,7
863,10017705,27,NO CODE,3
864,10000561,38,NO CODE,8
865,10002103,27,NO CODE,14
866,10003575,40,NO CODE,7
867,10017663,24,NO CODE,5
868,10016999,44,NO CODE,12
869,10012737,37,NO CODE,2
870,10013407,20,NO CODE,3
871,10003363,39,NO CODE,3
872,10016715,44,NO CODE,1
873,10005243,22,NO CODE,5
874,10014801,43,NO CODE,10
